,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,
23,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,
24,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,
25,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,
26,Casa Grand Boulevard,"Sy. No. 45, 46 And 47, Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore","2, 3, 4 BHK Apartments","Oct, 2022",Price on request,1234.00 sq.ft. - 2277.00 sq.ft.,7.67 Acres (60% open),2 Buildings - 370 units,"Sep, 2020",
27,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,
28,Adarsh Tranqville,"Sy. No. 92, Bidarahalli Hobli, Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore",4 BHK Villa,"Feb, 2022",9.10 K/sq.ft,4284.00 sq.ft.,14 Acres,106 units,"Jan, 2019",
29,Rohan Upavan Phase 4,"Kyalasanahalli Village, Avalahalli Main Road, Near Byrathi Cross, Narayanapura On Hennur Main Road, North Bangalore, Bangalore","1, 1.5, 2, 3 BHK Apartments","Mar, 2026",4.88 K/sq.ft,610.00 sq.ft. - 1830.00 sq.ft.,1 Acres,118 units,"May, 2019",
30,Salarpuria Sattva Northland,"Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore",4 BHK Villa,Ready to Move,7.59 K/sq.ft,3564.00 sq.ft. - 3676.00 sq.ft.,2 Acres,34 units,,
31,Salarpuria Sattva Aspire,"Near United Public School,Hennur, Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore",3 BHK Apartment,Ready to Move in,5.69 K/sq.ft,1904.00 sq.ft.,2 Acres,3 Buildings - 119 units,"Aug, 2013",
32,Salarpuria Sattva Aspire,"Near United Public School,Hennur, Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore",3 BHK Apartment,Ready to Move in,5.69 K/sq.ft,1904.00 sq.ft.,2 Acres,3 Buildings - 119 units,"Aug, 2013",
33,Rohan Upavan Phase 4,"Kyalasanahalli Village, Avalahalli Main Road, Near Byrathi Cross, Narayanapura On Hennur Main Road, North Bangalore, Bangalore","1, 1.5, 2, 3 BHK Apartments","Mar, 2026",4.88 K/sq.ft,610.00 sq.ft. - 1830.00 sq.ft.,1 Acres,118 units,"May, 2019",
34,Total Environment In That Quiet Earth Phase 2 A,"Property Katha No. 28 , 46, 110,111 Situated At Budigere Cross, North Bangalore, Bangalore",4 BHK Villa,"Dec, 2025",12.81 K/sq.ft,2768.00 sq.ft.,4.81 Acres,55 units,"Oct, 2020",
35,Pride Pegasus,"Site No. 20, Sy No. 115/1, Opp. Bible College Hennur Road, Byrathi, Kuvempu Layout On Hennur Main Road, North Bangalore, Bangalore","2, 3 BHK Apartments","Jun, 2023",5.50 K/sq.ft,1197.00 sq.ft. - 1816.00 sq.ft.,2 Acres,2 Buildings - 208 units,"Mar, 2021",
36,Bhartiya Leela Residences,"32/1, Bhartiya City, Near ICICI Manipal Academy, Near Hebbal,Kannur on Thanisandra Main Road, North Bangalore, Bangalore","Studio, 1, 2, 3, 4 BHK Apartment, Studio Apartments","Sep, 2020",12.50 K/sq.ft,802.00 sq.ft. - 4176.00 sq.ft.,2 Acres,3 Buildings - 176 units,"Oct, 2014",
37,Total Environment In That Quiet Earth,"Aavalahalli Main Road, Pete Krishnappa Layout, K Channasandra, Near Anagalapura Near Hennur Main Road, North Bangalore, Bangalore","2, 3, 4 BHK Apartments","Dec, 2025",6.95 K/sq.ft,1431.00 sq.ft. - 2890.00 sq.ft.,14.69 Acres,4 Buildings - 560 units,"Nov, 2017",
38,Total Environment In That Quiet Earth Phase 2 A,"Property Katha No. 28 , 46, 110,111 Situated At Budigere Cross, North Bangalore, Bangalore",4 BHK Villa,"Dec, 2025",12.81 K/sq.ft,2768.00 sq.ft.,4.81 Acres,55 units,"Oct, 2020",
39,Shriram Luxor,"Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore","2.5, 3 BHK Apartments","Mar, 2020",6.93 K/sq.ft,1054.00 sq.ft. - 1149.00 sq.ft.,4 Acres,8 Buildings - 444 units,"Oct, 2014",
40,SOUL & SOIL,"Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore","1, 3, 4 BHK Apartment, Villas","Feb, 2023",Price on request,2128.00 sq.ft.,,94 units,"Jun, 2018",
41,Pride Pegasus,"Site No. 20, Sy No. 115/1, Opp. Bible College Hennur Road, Byrathi, Kuvempu Layout On Hennur Main Road, North Bangalore, Bangalore","2, 3 BHK Apartments","Jun, 2023",5.50 K/sq.ft,1197.00 sq.ft. - 1816.00 sq.ft.,2 Acres,2 Buildings - 208 units,"Mar, 2021",
42,SOUL & SOIL,"Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore","1, 3, 4 BHK Apartment, Villas","Feb, 2023",Price on request,2128.00 sq.ft.,,94 units,"Jun, 2018",
43,Adarsh Pinecourt,"Sy No. 91, Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore","2, 2.5, 3 BHK Apartments","Aug, 2022",5.00 K/sq.ft,1172.00 sq.ft. - 1822.00 sq.ft.,4 Acres,201 units,"Jan, 2019",
44,Salarpuria Sattva Aspire,"Near United Public School,Hennur, Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore",3 BHK Apartment,Ready to Move in,5.69 K/sq.ft,1904.00 sq.ft.,2 Acres,3 Buildings - 119 units,"Aug, 2013",
