,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,
25,Prayeja City Phase 1,"Survey No. 71, Near Mumbai Pune Bypass Rd, Sinhgad Road, Near Karve Nagar, Dhayari, Sinhagad Road, Pune","2, 3 BHK Apartments",Ready to Move,7.29 K/sq.ft,615.00 sq.ft. - 1440.00 sq.ft.,,8 Buildings - 501 units,"Mar, 2014",
26,Nanded Sargam At Nanded City,"Plot No.S No13P14P15P16P17P, Nanded, Haveli, Near Dhayari, Sinhagad Road, Pune","2, 2.5, 3 BHK Apartments","Mar, 2019",8.43 K/sq.ft,665.00 sq.ft. - 1033.00 sq.ft.,13 Acres,7 Buildings - 1736 units,"Nov, 2014",
27,Nanded Lalit,"Sinhagad Road, Dhayari, Sinhagad Road, Pune",3 BHK Apartment,"Jun, 2015",4.25 K/sq.ft,1114.00 sq.ft.,,6 Buildings - 792 units,"Aug, 2009",
28,Silver Stone,"Handewadi Main Chauk, Undri-Saswad Road, Handewadi, Handewadi Road-Hadapsar, Pune",2 BHK Apartment,"Dec, 2023",5.67 K/sq.ft,630.00 sq.ft.,8 Acres,8 Buildings - 393 units,"May, 2014",
29,Kalpataru Serenity,"Manjari, Pune",2 BHK Apartment,"Dec, 2023",Price on request,715.00 sq.ft.,16 Acres,11 Buildings - 510 units,"Dec, 2010",
30,Ira Housing Society,"Kondhwa Saswad Road, Near The Great Maratha Biryani House, Handewadi, Pune", BHK ,,Price on request,On Request,,,,
31,Kumar Park Infinia,"S.no. 214, 220,221, Opp.Shiv Shankar Mangal Karyalaya, Phursungi, Tal. Haveli, Fursungi, Pune",2 BHK Apartment,"Mar, 2024",8.18 K/sq.ft,634.00 sq.ft. - 764.00 sq.ft.,4.26 Acres (80% open),6 Buildings - 336 units,,
32,Tata Inora Park,"Near Bishops School, Undri, Pune","2, 3 BHK Apartments",Ready to Move,5.28 K/sq.ft,1000.00 sq.ft. - 1409.00 sq.ft.,6 Acres (70% open),3 Buildings - 248 units,"Jan, 2010",
33,Silver Stone,"Handewadi Main Chauk, Undri-Saswad Road, Handewadi, Handewadi Road-Hadapsar, Pune",2 BHK Apartment,"Dec, 2023",5.67 K/sq.ft,630.00 sq.ft.,8 Acres,8 Buildings - 393 units,"May, 2014",
34,Lushlife Impero,"Sr No. 22, Autade, Handewadi, Handewadi Road-Hadapsar, Pune","1, 2 BHK Apartments","Sep, 2022",5.67 K/sq.ft,351.00 sq.ft. - 545.00 sq.ft.,,2 Buildings - 214 units,"Jul, 2018",
35,Elated Khushvista Phase 1,"Near Corinthians Club Mohammadwadi, Pune",2 BHK Apartment,"Dec, 2024",Price on request,713.00 sq.ft. - 715.00 sq.ft.,1.02 Acres,1 Building - 103 units,"Sep, 2021",
36,Kumar Park Infinia,"S.no. 214, 220,221, Opp.Shiv Shankar Mangal Karyalaya, Phursungi, Tal. Haveli, Fursungi, Pune",2 BHK Apartment,"Mar, 2024",8.18 K/sq.ft,634.00 sq.ft. - 764.00 sq.ft.,4.26 Acres (80% open),6 Buildings - 336 units,,
37,Nirman Brookefield Willows A2,"Pisoli, Near Undri, Pune","2, 3 BHK Apartments",Under Construction,Price on request,670.00 sq.ft. - 932.00 sq.ft.,4 Acres,1 Building - 120 units,,
38,Vishwakarma Vedant,"Undri, NIBM Road, Pune",2 BHK Apartment,Ready to Move,4.80 K/sq.ft,604.00 sq.ft. - 717.00 sq.ft.,,,"May, 2012",
39,K Raheja Sterling,"NIBM Annex Mohammadwadi, NIBM Post Office Road, Pune","2, 3 BHK Apartments","Mar, 2026",10.68 K/sq.ft,702.00 sq.ft. - 834.00 sq.ft.,0.19 Acres,1 Building - 195 units,"Dec, 2021",
40,Elated Khushvista Phase 1,"Near Corinthians Club Mohammadwadi, Pune",2 BHK Apartment,"Dec, 2024",Price on request,713.00 sq.ft. - 715.00 sq.ft.,1.02 Acres,1 Building - 103 units,"Sep, 2021",
41,Atria Dhanashree Aangan,"S.No. 2/2/1, 1/1, Off Nyati Estate Road, Pune",2 BHK Apartment,Ready to Move,3.60 K/sq.ft,1013.00 sq.ft. - 1101.00 sq.ft.,,2 Buildings - 60 units,"Nov, 2012",
42,Tulsi Shakuntla Kanade Nagar,"Near Undri, Pune, Pune","2, 3 BHK Apartments",Ready to Move,4.30 K/sq.ft,1077.00 sq.ft. - 1634.00 sq.ft.,2 Acres,3 Buildings - 126 units,"May, 2014",
43,Seven Hills Vaishnavi City Phase II,"Sr. No. 23/1/2/3, Behind JSPM Engineering College, Hadapsar, Handewadi Road, Near Cygnet School, Uruli Devachi, Pune","1 RK, 1, 2 BHK Apartments","May, 2022",Price on request,272.00 sq.ft. - 517.00 sq.ft.,5 Acres,7 Buildings - 619 units,"Jan, 2016",
44,The GEN Meraki,"Pashan, Pune","2, 3 BHK Apartments","Dec, 2024",10.90 K/sq.ft,915.00 sq.ft. - 1408.00 sq.ft.,0.95 Acres,1 Building - 94 units,,
45,Nanded City Pune Rhythm I II III,"Nanded City, Sinhagad Road, Pune",Residential Plots,"Sep, 2024",Price on request,2400.00 sq.ft. - 5234.00 sq.ft.,26 Acres,,,
46,Amar Landmark,"Survey No 19/A/2B, CTS No 578 Part At Pashan, Pashan Road, Pune",4 BHK Apartment,"Jun, 2023",Price on request,2861.00 sq.ft. - 2891.00 sq.ft.,2 Acres,2 Buildings - 64 units,"Jul, 2018",
47,KJ Tower,"Off Mumbai-Bangalore Highway Near Mai Mageshkar Hospital, Warje, Pune","2, 3 BHK Apartments","Sep, 2023",Price on request,779.00 sq.ft. - 1108.00 sq.ft.,1 Acres,4 Buildings - 160 units,,
48,Kumar Privie Sanctum A1 And B1,"Ivory Estate, Ward No. 8, Baner, Pashan Road, Pune","3.5, 4.5 BHK Apartments","May, 2021",Price on request,1611.00 sq.ft. - 2263.00 sq.ft.,1 Acres,2 Buildings - 60 units,"Oct, 2013",
49,Chordia Solitaire Homes Pashan,"Cts. No. 672 To 681 And 708, S. No. 146/3A/3B/1, Plot No. 2, Pashan, Pashan Road, Pune","2 BHK Apartment, Studio Apartment","Jun, 2023",10.99 K/sq.ft,635.00 sq.ft. - 644.00 sq.ft.,1 Acres,3 Buildings - 120 units,"Apr, 2019",
50,Chordia Solitaire Homes Pashan,"Cts. No. 672 To 681 And 708, S. No. 146/3A/3B/1, Plot No. 2, Pashan, Pashan Road, Pune","2 BHK Apartment, Studio Apartment","Jun, 2023",10.99 K/sq.ft,635.00 sq.ft. - 644.00 sq.ft.,1 Acres,3 Buildings - 120 units,"Apr, 2019",
51,KJ Tower,"Off Mumbai-Bangalore Highway Near Mai Mageshkar Hospital, Warje, Pune","2, 3 BHK Apartments","Sep, 2023",Price on request,779.00 sq.ft. - 1108.00 sq.ft.,1 Acres,4 Buildings - 160 units,,
52,Puravankara Aspire,"Near Ambrosia Resort and Spa, Bavdhan, Paud Road, Pune","2, 3 BHK Apartments","Dec, 2022",Price on request,1180.00 sq.ft. - 1805.00 sq.ft.,2.64 Acres,2 Buildings - 236 units,"Jun, 2019",
53,Goel Ganga Legend A2 And B4,"Sr No. 305P, 306P And 339P, Bavdhan, Pashan Road, Pune","2, 3 BHK Apartments","Jun, 2027",13.36 K/sq.ft,573.00 sq.ft. - 955.00 sq.ft.,2 Acres,4 Buildings - 356 units,"May, 2019",
54,Shapoorji Vanaha,"Bavdhan, Pashan Road, Pune","2, 2.5, 4 BHK Apartments","Mar, 2025",7.14 K/sq.ft,774.00 sq.ft. - 2100.00 sq.ft.,,,,
55,Tejraaj Elevia,"Baner, Pune, Pune","1, 2, 3 BHK Apartments",Under Construction,8.82 K/sq.ft,578.00 sq.ft. - 991.00 sq.ft.,,2 Buildings - 232 units,,
56,Puravankara Aspire,"Near Ambrosia Resort and Spa, Bavdhan, Paud Road, Pune","2, 3 BHK Apartments","Dec, 2022",Price on request,1180.00 sq.ft. - 1805.00 sq.ft.,2.64 Acres,2 Buildings - 236 units,"Jun, 2019",
57,Sanjay's Selenite,"14 / 1B/1, Near Hotel Green Park, Baner Road, Aundh, Pashan Road, Pune",2 BHK Apartment,Ready to Move,7.08 K/sq.ft,1482.00 sq.ft.,,1 Building - 50 units,"Jan, 2013",
58,Amar Serenity,"Plot No. Survey No. 135/5, Plot No 2 At Pune (M Corp.), Baner-Pashan Link Road, Pune",3 BHK Apartment,"Dec, 2020",12.47 K/sq.ft,1003.00 sq.ft. - 1130.00 sq.ft.,2.92 Acres,4 Buildings - 246 units,"Jun, 2016",
59,Kumar Privie Sanctum A1 And B1,"Ivory Estate, Ward No. 8, Baner, Pashan Road, Pune","3.5, 4.5 BHK Apartments","May, 2021",Price on request,1611.00 sq.ft. - 2263.00 sq.ft.,1 Acres,2 Buildings - 60 units,"Oct, 2013",
60,Kumar Peninsula,"S.No. 135, Baner-Pashan Link Road, Pashan, Baner-Pashan Link Road, Pune",3 BHK Apartment,"Dec, 2014",6.00 K/sq.ft,1750.00 sq.ft. - 3046.00 sq.ft.,,4 Buildings - 84 units,"Dec, 2010",
61,Supremus,"Pashan, Pashan Road, Pune",2 BHK Apartment,"Jun, 2025",7.98 K/sq.ft,607.00 sq.ft. - 618.00 sq.ft.,0.98 Acres,2 Buildings - 141 units,"Jan, 2022",
62,VTP Solitaire Phase 1 A B,"Survey No 135/5/1, Haveli, Pashan, Pashan Road, Pune","2, 3 BHK Apartments","Jun, 2022",10.29 K/sq.ft,673.00 sq.ft. - 923.00 sq.ft.,1 Acres,2 Buildings - 112 units,"Oct, 2017",
63,Surya Blossom N Springs,"Baner Pashan Link Road, Pune, Baner-Pashan Link Road, Pune",,,Price on request,On Request,,,,
64,Amar Landmark,"Survey No 19/A/2B, CTS No 578 Part At Pashan, Pashan Road, Pune",4 BHK Apartment,"Jun, 2023",Price on request,2861.00 sq.ft. - 2891.00 sq.ft.,2 Acres,2 Buildings - 64 units,"Jul, 2018",
65,Sukhwani Saffron,"S. No.120, Hissa No. 5/1/2/8/10 Near Balaji Mandir, Pashan, Sus Road-Pashan, Pune","2, 3 BHK Apartments",Ready to Move,9.93 K/sq.ft,716.00 sq.ft. - 957.00 sq.ft.,,2 Buildings - 55 units,"Dec, 2014",
66,Goel Ganga Atharva Ganga,"Balaji Chowk, Pashan, Pashan Road, Pune","1, 2, 2.5 BHK Apartments","Apr, 2014",10.00 K/sq.ft,615.00 sq.ft. - 1250.00 sq.ft.,,,"Feb, 2011",
