,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size
40,Wadhwa Atmosphere Phase 1,"Opp Registration Office, Goregaon Mulund Link Road, Near Fortis Hospital, Hira Nagar, Mulund West, Central Mumbai Suburbs, Mumbai","2, 3 BHK Apartments","Oct, 2019",Price on request,661.00 sq.ft. - 1017.00 sq.ft.,,3 Buildings - 721 units
41,Sheth Montana,"Off LBS Marg, Vasant Oscar Layout, Mulund West, Central Mumbai Suburbs, Mumbai","2, 3, 4 BHK Apartments","Dec, 2023",12.30 K/sq.ft,912.00 sq.ft. - 2032.00 sq.ft.,7 Acres (75% open),4 Buildings
42,Anon Avenue,"Plot No. 821,821/1,821/2,822 At Kurla, Mulund West, Central Mumbai Suburbs, Mumbai","1, 2 BHK Apartments","Apr, 2023",22.00 K/sq.ft,312.00 sq.ft. - 680.00 sq.ft.,0.1 Acres,1 Building - 25 units
43,S Class Homes,"Mulund West, Central Mumbai Suburbs, Mumbai","1, 2 BHK Apartments","Mar, 2026",Price on request,460.00 sq.ft. - 625.00 sq.ft.,12 Acres (50% open),1 Building - 330 units
44,Runwal Pinnacle,"Near Runwal Greens & Fortis Hospital, Goregaon Mulund Link Road, Mulund (W), Central Mumbai Suburbs, Mumbai","1, 2, 3 BHK Apartments","Dec, 2025",26.00 K/sq.ft,461.00 sq.ft. - 1005.00 sq.ft.,1.5 Acres,5 Buildings - 1190 units
45,Runwal The Sanctuary Tower 1,"C.T.S. No 544, 544/1 At Kurla, Mumbai Suburban, Mulund West, Central Mumbai Suburbs, Mumbai","2, 2.5, 3, 4 BHK Apartments","Jan, 2028",18.95 K/sq.ft,595.00 sq.ft. - 1426.00 sq.ft.,6 Acres,5 Buildings - 1003 units
46,L And T Rejuve 360 Tower A,"Cts No. Part 706B/B, Part 706 B/D, Part 706B/E, Part 710A, Part 712A At Mulund West, Central Mumbai Suburbs, Mumbai","2, 3, 3.5 BHK Apartments","Jun, 2026",16.67 K/sq.ft,612.00 sq.ft. - 1300.00 sq.ft.,,538 units
47,Sheth Montana,"Off LBS Marg, Vasant Oscar Layout, Mulund West, Central Mumbai Suburbs, Mumbai","2, 3, 4 BHK Apartments","Dec, 2023",12.30 K/sq.ft,912.00 sq.ft. - 2032.00 sq.ft.,7 Acres (75% open),4 Buildings
48,Piramal Revanta,"Behind Nirmal Lifestyle Mall, Goregaon Mulund Link Road, Mulund West, Central Mumbai Suburbs, Mumbai","1, 2, 2.5, 3, 3.5, 4, 7 BHK Apartments","Sep, 2022",Price on request,452.00 sq.ft. - 2766.00 sq.ft.,8 Acres (50% open),2 Buildings - 560 units
49,Wadhwa Atmosphere O2,"Goregaon Mulund Link Road, Near Fortis Hospital, Mulund West, Central Mumbai Suburbs, Mumbai","2, 2.5 BHK Apartments","Dec, 2026",21.25 K/sq.ft,572.00 sq.ft. - 753.00 sq.ft.,5 Acres (85% open),3 Buildings - 531 units
50,Shreejee Mrugarchana CHSL,"Mulund West, Central Mumbai Suburbs, Mumbai","2, 2.5, 3 BHK Apartments","Sep, 2022",22.50 K/sq.ft,532.00 sq.ft. - 1028.00 sq.ft.,,1 Building - 82 units
51,Maverick Mooldeep,"1382, Mulund West, Central Mumbai Suburbs, Mumbai","2, 3, 4 BHK Apartments","Jun, 2022",22.00 K/sq.ft,596.00 sq.ft. - 1415.00 sq.ft.,,1 Building - 39 units
52,Viva Vedanta,"Manvelpada Road, Next to Canara Bank Lane, Virar East, Mira Road and Beyond, Mumbai","1, 2 BHK Apartments",Under Construction,7.40 K/sq.ft,424.00 sq.ft. - 566.00 sq.ft.,4 Acres,1 Building - 152 units
53,Viva Vedanta,"Manvelpada Road, Next to Canara Bank Lane, Virar East, Mira Road and Beyond, Mumbai","1, 2 BHK Apartments",Under Construction,7.40 K/sq.ft,424.00 sq.ft. - 566.00 sq.ft.,4 Acres,1 Building - 152 units
54,Bachraj Lifespace,"S No. 3/1 & 133/1, YK Nagar NX, Global City, Virar, Mira Road and Beyond, Mumbai","1, 2 BHK Apartments","Jun, 2024",9.31 K/sq.ft,347.00 sq.ft. - 499.00 sq.ft.,2 Acres,1 Building - 488 units
55,Swastik Epitome Building 2 Phase II 8 To 14 Floors,"Plot No. 185/B/1, 185/B/2, 185/B/3, 185/B/4, 185/B/5 Old S No 240, 241 At Vasai-Virar City (M Corp), Vasai, Palghar, Virar, Mumbai, Mira Road and Beyond, Mumbai","1, 1.5, 2 BHK Apartments","May, 2021",8.10 K/sq.ft,394.00 sq.ft. - 623.00 sq.ft.,1 Acres,5 Buildings - 172 units
